gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Fibro	Mac
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.011	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.011	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.088	0.034
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.011	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.088	0.034
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.088	0.034
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.088	0.034
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.088	0.034
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.003	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.144	0.923
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.048	0.073
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.014	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.145	0.176
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.003	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.144	0.923
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.002	0.057
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.003	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.003	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.048	0.073
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.048	0.073
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.014	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.004	0.1
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.18	0.067
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	1.11	1.485
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.461	0.203
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.18	0.067
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.273	0.207
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.001	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.002	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.001	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.03	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.18	0.067
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.273	0.207
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.001	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.002	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.014	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.18	0.067
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.273	0.207
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.05	0.219
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.001	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.002	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.001	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.03	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.014	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.004	0.0
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.012	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.535	0.274
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.18	0.067
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.273	0.207
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.001	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.002	0.0
