gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Fibro	Mac
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.002	0.024
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.002	0.024
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.074	0.073
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.002	0.024
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.074	0.073
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.074	0.073
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.074	0.073
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.074	0.073
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.02	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.216	0.799
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.077	0.091
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.003	0.007
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.133	0.172
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.02	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.216	0.799
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.002	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.02	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.02	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.077	0.091
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.077	0.091
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.003	0.007
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.027	0.273
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.287	0.539
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.305	0.06
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	2.431	3.084
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.533	0.172
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.305	0.06
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.371	0.552
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.003	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.008
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.018	0.015
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.305	0.06
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.371	0.552
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.003	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.008
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.104	0.019
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.305	0.06
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.371	0.552
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.139	0.432
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.003	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.008
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.018	0.015
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.104	0.019
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.036	0.061
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.003	0.0
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.015	0.004
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.541	0.382
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.305	0.06
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.371	0.552
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.003	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.008
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.018	0.015
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	1.358	1.538
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.305	0.06
SPP1	P10451	False	OSTP_HUMAN		CPI-SS04297753E	2.431	3.084
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.0	0.018
