"","id_cp_interaction","interacting_pair","Pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","pair_a","pair_b","pval","countint","ligand.cell","receptor.cell","rank","mean","lab","pos"
"1","CPI-SS00A953C3A","EGF_NRG1","Mac|Mac","simple:P01133","simple:Q02297","EGF","NRG1","True","False","True","I2D","False","Mac","Mac",0,31,"Mac","Mac",0.5,0.98,1,1
"2","CPI-SS028688B7B","EFNA5_EPHA7","Mac|Mac","simple:P52803","simple:Q15375","EFNA5","EPHA7","False","False","True","curated","False","Mac","Mac",0,31,"Mac","Mac",0.5,0.489,1,2
"3","CPI-SS0302E8E8F","CD74_COPA","Mac|Mac","simple:P04233","simple:P53621","CD74","COPA","True","True","False","IMEx,IntAct","False","Mac","Mac",0,31,"Mac","Mac",0.5,1.161,1,3
"4","CPI-SS044C72D0D","SEMA4A_PLXND1","Mac|Mac","simple:Q9H3S1","simple:Q9Y4D7","SEMA4A","PLXND1","False","False","True","curated","False","Mac","Mac",0.012,31,"Mac","Mac",0.5,0.171,1,4
"5","CPI-SS055E061C9","LAMP1_FAM3C","Mac|Mac","simple:P11279","simple:Q92520","LAMP1","FAM3C","True","True","False","InnateDB-All","False","Mac","Mac",0,31,"Mac","Mac",0.5,0.524,1,5
"6","CPI-SS060B82BBC","JAG1_NOTCH2","Mac|Mac","simple:P78504","simple:Q04721","JAG1","NOTCH2","False","False","True","curated","False","Mac","Mac",0,31,"Mac","Mac",0.5,0.417,1,6
"7","CPI-SS07CCAD9BF","GRN_SORT1","Mac|Mac","simple:P28799","simple:Q99523","GRN","SORT1","True","False","True","IMEx,InnateDB-All,MINT","False","Mac","Mac",0.004,31,"Mac","Mac",0.5,0.304,1,7
"8","CPI-SS09808DEAE","CD74_APP","Mac|Mac","simple:P04233","simple:P05067","CD74","APP","False","True","False","curated","False","Mac","Mac",0,31,"Mac","Mac",0.5,1.851,1,8
"9","CPI-SS0ABC5C1B8","CD74_MIF","Mac|Mac","simple:P04233","simple:P14174","CD74","MIF","True","True","False","I2D,InnateDB-All","False","Mac","Mac",0,31,"Mac","Mac",0.5,0.969,1,9
"10","CPI-SS0B87FE6E0","NOTCH1_JAG1","Mac|Mac","simple:P46531","simple:P78504","NOTCH1","JAG1","False","True","False","curated","False","Mac","Mac",0,31,"Mac","Mac",0.5,0.235,1,10
"11","CPI-SS0C1BD22BC","SPP1_PTGER4","Mac|Mac","simple:P10451","simple:P35408","SPP1","PTGER4","True","False","True","IMEx,MINT","False","Mac","Mac",0,31,"Mac","Mac",0.5,1.64,1,11
"12","CPI-SS0DEDA3567","TNFSF10_RIPK1","Mac|Mac","simple:P50591","simple:Q13546","TNFSF10","RIPK1","True","False","True","InnateDB-All","False","Mac","Mac",0.016,31,"Mac","Mac",0.5,0.221,1,12
"13","CPI-SS0E41702C1","IGF1_IGF1R","Mac|Mac","simple:P05019","simple:P08069","IGF1","IGF1R","True","False","True","curated","False","Mac","Mac",0,31,"Mac","Mac",0.5,1.004,1,13
"14","CPI-SS0FC01B947","EFNA5_EPHA4","Mac|Mac","simple:P52803","simple:P54764","EFNA5","EPHA4","False","False","True","curated","False","Mac","Mac",0.024,31,"Mac","Mac",0.5,0.46,1,14
"15","CPI-CS067298D94","FLT1 complex_VEGFA","Mac|Mac","complex:FLT1 complex","simple:P15692","","VEGFA","True","True","False","curated","False","Mac","Mac",0,31,"Mac","Mac",0.25,0.398,1,15
"16","CPI-SC098C06330","TGFB1_TGFbeta receptor1","Mac|Mac","simple:P01137","complex:TGFbeta receptor1","TGFB1","","True","False","True","curated","False","Mac","Mac",0.043,31,"Mac","Mac",0.25,0.441,1,16
"17","CPI-SS02371A6D6","VEGFA_EPHB2","Mac|Mac","simple:P15692","simple:P29323","VEGFA","EPHB2","True","False","True","I2D","False","Mac","Mac",0,31,"Mac","Mac",0.25,0.405,1,17
"18","CPI-SS02AB0C3E0","SPP1_CD44","Mac|Mac","simple:P10451","simple:P16070","SPP1","CD44","True","False","True","I2D,IMEx,InnateDB-All,IntAct","False","Mac","Mac",0,31,"Mac","Mac",0.25,1.758,1,18
"19","CPI-SS02D7A1DDE","KIT_KITLG","Mac|Mac","simple:P10721","simple:P21583","KIT","KITLG","True","True","False","curated","False","Mac","Mac",0,31,"Mac","Mac",0.25,0.247,1,19
"20","CPI-SS033CB0BB2","CXADR_FAM3C","Mac|Mac","simple:P78310","simple:Q92520","CXADR","FAM3C","True","True","False","IMEx,IntAct","False","Mac","Mac",0,31,"Mac","Mac",0.25,0.261,1,20
"21","CPI-SS04124F4E1","EPO_EFNB2","Mac|Mac","simple:P01588","simple:P52799","EPO","EFNB2","True","False","True","IMEx,IntAct","False","Mac","Mac",0.038,31,"Mac","Mac",0.25,0.327,1,21
"22","CPI-SS04A97448D","FGF1_FGFR2","Mac|Mac","simple:P05230","simple:P21802","FGF1","FGFR2","True","False","True","I2D,IMEx,InnateDB-All,IntAct,MINT","False","Mac","Mac",0,31,"Mac","Mac",0.25,1.045,1,22
